IDIOM,meaning,uses
kick the can down the road,"to avoid dealing with a problem
to postpone dealing with something in the hopes that it becomes someone else's problem
to leave a complicated issue for some other day
to avoid or delay making an important decision, normally on a regular basis
to ignore a problem in the hope that it will go away
to reschedule a final action with a temporary solution","I realise that the house needs to be painted but we are going to move in a few years so I am kicking the can down the road.
You can't continue to kick the can down the road. Someone will have to tell him that he is fired.
It's fine that your mom has paid your bills, but sooner or later you have to stop kicking the can down the road.
It's not a good idea to kick the can down the road and let the next generation to solve the global warming problem.
Kicking the can down the road is not a solution to any problem. We need to fix it permanently.
I am pretty sure that it will kick the can down the road improvement only.
Robbie is willing to do what it takes to resolve the issue not just kick the can down the road."
pat on the back,"to receive or express praise for a job well done
an expression of appreciation or compliment
to congratulate
to grant approval
to show your appreciation
to show of approval
sign of approbation
well done
praise, congratulations or kudos for a job well done","He received a pat on the back from his boss from the new project that he landed.
My dad's idea of a pat on the back was always to let us eat dessert before our meal.
You single-handedly organized the fundraiser, Julie. It has been a massive success and you can give yourself a pat on the back.
Do you think that you deserve a pat on the back for telling the whole company that I was the one who broke the printer?
Father gave son a big pat on the back and a big congratulation after the win.
The coach was surprised by unexpected victory and gave a pat on the back of the team.
For all that you did, you deserve more than just a pat on the back.
Don't pat yourself on the back so early; you have to complete several similar works yet.
Give yourselves a pat on the back for what you did.
You guys deserve a pat on the back for the services you provide, day and night."
heart touching,"an event that makes you feel happy
something that moves you on an emotional level
to touch someone's heart means to make them feel empathy or sympathy","We watched a heart-touching movie about a boy who lived next to a concentration camp during the Second World War.
The feedback that we received from the public was heart-warming.
The girl's story about her lost dog was heart touching.
Jane wrote a heart touching poem in the memory of her late grandmother.
Wing Commander Abhinandan Varthaman return to India from Pakistan was a heart-touching moment for every Indian.
A little daughter sent a heart touching message to her soldier father.
My new colleague has told me a heart-touching incident about her life."
tick off,"to make a mark next to items on a list that have been completed
to make someone angry or offended
to be angry with someone
to reprimand someone
to count things off on your fingers
to tell off
to rebuke or scold
give a talking-to
haul over the coals
take to task","I would like to tick off some more items on my list before going home.
Please tick off the learners’ names as they enter the classroom.
His attitude really ticks me off.
 I am very ticked off with my sister for using my cell phone without asking.
He ticked me off for forgetting his birthday. 
She ticked off all of the things that she still had to do before the end of the day.
Jackie shared things to tick off the listbefore leaving home for an international holiday.
Please read the complete list and tick off the appropriate boxes.
My decision is going to tick off my entire family.
The most important thing to tick off the listis my mobile phone.
If we make some more money, then a new family car is one more thing we can tick off the list.
There are lots of things I want to tick off the list of things-to-do before I die."
mull over,"to take a long time to make a decision
to spend a large amount of time considering ones options before making a decision
to think sincerely about something
think over
consider
dwell on
think about
ponder
give consideration to
reflect / muse","I will need to mull things over before I decide whether or not to start my own business. It is a big decision.
You should mull over getting back to your ex again.
I am mulling over the expansion of my business to overseas.
You have been mulling things over for weeks now, if you don't give them an answer soon, they will employ someone else.
My friend is mulling over the idea of adopting a baby.
She woke up early in the morning and started mulling things over.
We are mulling things over before finally choosing about where to live after our marriage.
If I had enough time to mull things over the situation might be different.
I need some more time to mull over my final decision.
The NASA engineers mulled over another possible option to resolve the blurry images issue with Hubble telescope."
right away,"to do something immediately
to perform a task without delay
immediately / instantaneously
right now / just now
straight away
without ado
without beating about the bush
on the double
at this instant","I promise to complete my homework right away.
I will bring back the dish right away.
We have to leave right away if we want to be in time for the show.
He told me that they would get back to me right away regarding an answer.
Sit down, right away! If you disrupt my class again, I will send you to the principal's office.
I will try to find an answer for you right away, Mr. Jones."
turn out,"to arrive at an event
a surprising discovery
to manufacture something
to switch the lights from on to off
to come to a satisfactory end
being evicted or refused service
to remove something from a mold
prove to be the case
come to light
become known
become apparent
be revealed / disclosed","They had fewer people turn out for their party than they anticipated.
It turns out that Peter is too afraid to go bungee jumping.
I have just started my own business but I already turn out about 24 pies per day.
Please turn out the lights before you leave the room.
I am sure that the cakes will all turn out well.
I was unable to pay my rent after I lost my job. The landlord was quick to turn out my family.
After it has cooled, you can turn out the cake from the mold and decorate it.
She never knew that her habit of little savings might turn out to be a treasure one day.
Rainwater Harvesting has turned out to be a lifeline during the drought.
If the allegations turn out to be true, all of them will go to jail."
for a while,"a short period of time
a little
for a moment
a moment or two
a short time
for a time
some time","I will be able to sit with you for a while, but I need to get home soon.
You can stay with us for a while until you are back on your feet.
He stayed with them awhile.
Please sit awhile, we will be leaving for the movie very soon.
We also stayed in Japan for a while during our trip to China.
I have stopped taking caffeine for a while.
Dad should take a break for a while because he is working for a long time.
My boss had gone mad at me for a while.
It looks like the weather is going to be stormy for a while.
You stay here for a while I will be right back."
bring up,"in the literal form, it means to take something to a higher place
to become ill (vomit)
to care for a child until they become an adult (typically used in the past tense – brought up)
to mention something or someone
to increase or elevate something
to talk about something
to raise","Please bring up some more blankets when you come to bed.
I am a terrible flyer. I usually bring up my lunch.
I was brought up in a very strict household. My parents wouldn't allow me to go out with friends.
I was born and brought up in London, we moved to United States when I was 15.
We would like to have a nice evening, please don't bring up her ex-husband.
If you want to get into a good university you will need to bring up your marks before the end of the semester."
come out,"to reveal something (often unintentionally)
to bring something (often the truth) into the open
to make a formal debut in society
to be released to the public
to join friends at a social gathering
to reveal a secret to others (often used to depict homosexual people telling their family)
to remove something (usually a stain)
became visible/manifest
to show your face","I didn't mean to tell him about your job interview, it just came out.
After four days of snow, it was nice to see the sun come out today.
It doesn't matter how much you try to deny it the truth will come out.
I am very excited to come out at the debutante ball next spring.
Their new book will come out next week.
I have a lot of work to do, but I will try to come out this weekend.
It was very difficult for my brother to come out to my parents.
I have tried everything but this mustard stain on my blouse won't come out."
turn over a new leaf,"to alter your behaviour in a positive way
to start fresh
to change course
to start afresh
to change track
to rethink/remodel
to have second thoughts","He has not been in trouble this year. He has really turned over a new leaf.
 She promises to turn over a new leaf if we give her one more chance.
Apparently, he has stopped gossiping and promises to turn over a new leaf this year. I will believe it when I see it.
I am starting my new job tomorrow. It feels like I am turning over a new leaf.
I know that we have not gotten along very well in the past, but maybe we can turn over a new leaf.
The management is turning over a new leaf concerning the reasons for project failure.
I know that we have not gotten along very well in the past, but maybe we can turn over a new leaf.
I want to turn over a new leaf regarding my overeating habit."
get through,"to make it to the end of a particularly arduous or stressful experience
to assist someone in dealing with a traumatic event
to reach someone by telephone
to communicate with someone in such a way that makes them understand or acknowledge something
wear out
go through
use up","I didn't think we would get through the last week of exams.
I can't wait to get through the first Christmas since my divorce. It is going to be very tough few weeks.
We all need to help Andrea get through the death of her mother.
After trying for hours, I was finally able to get through to their head office in Germany.
His high school guidance counselor is the only person who was able to get through to him. She convinced him that he needs to apply for colleges soon if he wants any chance of a future."
vim and vigor,"full of energy and enthusiasm
high spirit
verve
vitality
liveliness","Even though my grandmother is in her 80s, she is still full of vim and vigor.
The old man proved his vim and vigor by sprinting up the steps.
If you wish to reduce your weight, then exercise daily with all your vim and vigor.
I have to kick start my new business with vim and vigor.
My dog is always full of vim and vigor and can barely sit calm."
buy the farm,"to die
to pass away
depart from the world
lose life all of a sudden
meet the death
to get perish
ending up in the grave
kick the bucket","Mister Jack was really ill from the past two months and yesterday he bought the farm.
Sara is just eighteen years old, too young to buy the farm.
Don't worry! John will survive this heart attack, he won't buy the farm.
Michal lived for a few days after her collapse and then she bought the farm.
I really want to visit New Zealand once, before I buy the farm."
a fish out of water,"being uncomfortable and restless
falling into the state of confusion
to feel awkward due to a specific/strange situation
being in an unusual situation
not feeling relaxed
away from the familiar environment","Our new teacher looked like a fish out of the water, nobody was aware of the issue.
We had no clue how to make Phil comfortable with the new management. He was looking like a fish out of the water.
Sara has certainly not looked like a fish out of water in the mathematics lecture, since she is taking some online classes to improve her concepts.
Martin had never been to a supermarket before, so he was looking like a fish out of water when his mother asked him to bring some stuff to cook."
bucket list,"a list of achievements or experiences someone wants to have during their lifetime
the things which are in our wish list
a list of incomplete tasks that are supposed to be completed later on
bucket list comprises of all the things which a person wants to do ever","Go and buy some sweaters, I have many other things left on my bucket list.
Just to cross off his bucket list - he painted the walls of his room.
Visiting a famous museum is definitely on my bucket list.
John is an adventurous guy; he is planning a long trip according to his bucket list.
As per her bucket list, Sarah wants to buy a Persian cat.
James wants to enjoy every day; he does not have any bucket list."
on the tip of my tongue,"something like a name or word that you know it but cannot remember at a particular moment
anything that is about to appear on one's mind
problem of forgetfulness
things that are able to be recalled after some time
something you want to say, but then you decide not to","It won't take me much time to remember, her name is on the tip of my tongue.
Just give me a minute - his birth date is on the tip of my tongue.
I can't exactly remember the title of the book, but it is on the tip of my tongue.
Sara looked up at me with questions on the tip of her tongue.
There was a question on the tip of his tongue, but he was unable to ask it.
Marry was badly annoyed by the behavior of the staff, terrible comments were on the tip of her tongue."
from the bottom of my heart,"with sincere and deep feeling
with intense feelings
showing sincerity towards something
expressing truthfulness to someone
saying something genuinely
with utmost devotion","I am really happy with the new job and I mean that from the bottom of my heart.
It was really good to have you here and I would like to thank all of you from the bottom of my heart.
It is not easy for Nicky to take out time and come, but she still came to you and I think you should be thankful to her from the bottom of your heart.
I am apologizing to you from the bottom of my heart, I won't hurt you again.
From the bottom of our hearts, we are congratulating you for your successful project.
We all thank you from the bottom of our hearts for your priceless efforts to make us happy.
We apologize from the bottom of our hearts for the inconvenience caused.
Your wish will come true if you pray from the bottom of your heart.
Tell me from the bottom of your heart, who you love the most?
They were so thankful of our team from the bottom of their heart for the help."
light years away,"when something seems unlikely to happen
too far in distance
something which is not expected to happen within a given amount of time
a very long time duration","The technological advancement like flying cars is light years away.
A solution to this problem is still light years away.
Some people say that British education system is light years away of the American education system.
The competition is not that tough. In fact, they are light years away.
At that time it seemed light years away, but now I am married and have my own family."
you can lead a horse to water but you can't make him drink,"we can offer good things to people but we can't force them to accept that
you can present an advantage but can't force someone to opt for that
we cannot enforce our decisions on anyone even if they are for their betterment
people will do whatever they wish to do no matter how much you ask them not to","I have tried my level best to educate him well, but he is still having a non-serious behavior, you can lead a horse to water, but you can't make him drink.
My father always wanted me to become a doctor, but I just wanted to be a fashion designer. It is true that you can lead a horse to water but you can't make him drink.
I made all the arrangements but he is still not coming tonight. Well, you can lead a horse to water but can't make him drink.
I had advised him not to marry so soon, but he still did this. It's like you can lead a horse to water, but you can't make him drink."
lion's share,"the biggest part of something
in a large ratio
a large amount of share
refers to a huge portion of something
getting most of something and leaving a very tiny amount for others","Karen always keeps a lion's share – I won't work with her anymore.
My sister grabbed the lion's share of the pizza.
They are wasting the lion's share of their income by paying rents of the unnecessarily big house.
Susana claimed the lion's share of the money for her success at the concert.
John was a really deserving candidate, so he got the lion's share of credit for the social service contest.
Rose is doing a great business, her new products account for the lion's share of its profit.
Sara was not looking pretty at all, but she got the lion's share of the attention of the audience in the fashion show.
Jack announced the lion's share of donations to the charities.
The environmental research department received the lion's share of funding from the public."
knock out,"knockout
knocked out","Does your brother really think that he can knock out the biggest guy in school? I would like to see him try.
Liverpool knocked Chelsea out of the running by beating them in last night's match.
The new medication that the doctor gave me for the flu really knocks me out.
The farewell party that my colleagues organized for me really knocked me out. I was not expecting it.
Cindy's new boyfriend is a real knockout.
I knocked myself out trying to make sure that this presentation is the best that you have ever seen.
America knocked out Russia in the competition of reaching to the moon first.
Do you have any plan to knock out your competitors?
The latest mobile phone by Samsung could be a knockout punch for Apple iPhone.
A knock out punch is a solid action or hit that causes to defeat the rivals."
mad at,"to be angry at a person or situation
to be upset to the point where you don’t want to see someone","I am so mad at Jane because she broke my favourite pair of earrings. I told her not to borrow my things.
I am mad at my boss for making me work over the long weekend. I wanted to relax with my family.
""Don’t be mad at me because you missed the bus.""
""I am not mad at you, I am mad at the situation.""
She was so mad at him that she decided to change the locks on the front door while he was at work."
screw up,"slang depicting that a mistake was made
very puzzled, confused or worried
to ruin something
to make something into a smaller shape by compacting it
to mentally prepare yourself for something
to become mentally confused or neurotic
to damage or injure yourself","I really screwed up this time. My wife will never forgive me for forgetting her birthday.
You screwed up when you called your boss by the wrong name.
I screwed up the cake when I forgot to add eggs to it.
He screwed up the television by pressing random buttons on the remote.
Mom, Johnnyscrewed up my painting and threw it in the fire!
He needs toscrew up the courage to ask her out.
Getting divorced has really screwed him up.
I screwed up my knee when I tripped over that brick last weekend."
aftermath,"the effects of something traumatic
the consequences of an event
after effects","A lot of countries sent help in the aftermathof the earthquake.
There are numerous videos online that show the aftermathof the tsunami that hit Thailand a few years ago.
Our family had to stand together in the aftermathof the scandal.
We are all waiting to see what the aftermath of the fight will be."
white lie,"a harmless lie
a small or unimportant lie
a lie that that is meant to spare someone's feelings
to lie about a small or unimportant matter","Telling your friend that you like their new haircut, when you really don't, is an example of a white lie.
Sometimes it is better to tell a white lie than to hurt someone's feelings.
You should not be worried about your son's white lie.
Sometime, even a white lie may disturb your married life.
Sara's white lie led an innocent young man to his death.
Americans believe a white lie — an acceptable stretching of truth's limits.
Many times a white lie can seem the ideal tool to keep the things around you balanced."
take for a ride,"to trick somebody
to lie to somebody to deceive them
to abduct someone with the intention of murdering them","I paid for the package but it was never delivered. After two weeks I realized that I had been taken for a ride.
I paid him $3000 as a deposit but he still has not fixed my car. I think he has taken me for a ride.
His new girlfriend is taking him for a ride. She is not as sweet as she looks.
When his boss found out that he had stolen the drugs, he was taken for a ride. He never returned."
get to know,"receiving the information
picking up things well
finding out new things about someone
learning about something
obtaining the data
becoming familiar with something
gaining knowledge about something","It took me a while to get to know my in-laws and understanding their lifestyle.
Riana and Sam were getting to know each other in a better way by spending time together.
He would get to know the people in the industry soon.
If you are willing to marry Sara, you should get to know her first.
We are getting to know our neighbors since we bought a new house in society.
I will get to know the reason behind the failure of the project.
I have just arrived in this Country so it will take me some time to get to know more about it."
green with envy,"extremely jealous of another person
to be unhappy about something
upset because someone else has something that you do not have
being envious
wishing to have someone's possession","Sally was green with envy when he saw my brand new car.
Why are you getting green with envy?
All the participants were green with envy when John was delivering his speech.
I was green with envy when I came to know that my enemy got into a relationship with my recent crush.
I could see that all the girls were green with envy when I came out in my new dress.
When I told Emma about the confirmation letter - she was green with envy.
My engagement ring made my friends green with envy."
pep talk,"a motivational speech
a speech intended to make someone feel more courageous or enthusiastic
an influential talk
a short conversation to build high spirits","Last night, I met Sara for a pep talk because I had my interview the very next day.
I was supposed to meet my counselor for a pep talk.
The principal gave the students a pep talk this morning, in the assembly, to boost up their confidence.
Alex is confused - I think he needs a pep talk.
The coach was supposed to give us a final pep talk before the beginning of the match.
I guess you need a pep talk to finish the work.
Suzy seemed fully energized today; she had a pep talk before the examination."
like a bat out of hell,"very fast and crazily
occurring rapidly
moving fast
extremely quick
happening without any pause
something happening abruptly
with great intensity","When Sara told Sam that there is a ghost living next to their room, he changed the room like a bat out of hell.
Yesterday Kevin was driving like a bat out of hell.
My toy plane flies here and there like a bat out of hell.
DHL delivered the goods to me like a bat out of hell.
She rushed into the shopping mall like a bat out of hell and collected many discounted products.
Like a bat out of hell, Nick came to us and asked for help.
The factory caught fire and its workers were running and trying to escape like a bat out of hell."
trouble shared is trouble halved,"a trouble shared is a trouble halved
a problem shared is a problem halved
a worry shared is a worry halved","Don't hesitate to share your problems with me. After all, a problem shared is a problem halved.
Sara should tell someone about what she is going through because trouble shared is trouble halved.
The best option is to share your feelings with your mother. A worry shared is a worry halved.
A psychiatrist can help Lidia to recover from the trauma, tell her that a trouble shared is a trouble halved.
I want to know why you are so anxious. Let me make you feel good - trouble shared is trouble halved."
all roads lead to rome,"all the routes are directed towards the center
there is more than one way to achieve the same thing
variety of methods will yield the same result in the end
exactly the same outcome can be produced using many different ways
there are many different routes to reach the same destination","Take any route of your choice becauseall roads lead to Rome.
All roads lead to Rome, so whether you draw from the top or from the bottom, it will give you the same drawing.
Some people have to memorize while others can remember by just going through it once. In the long run, all roads lead to Rome.
Sam always uses a shorter method to get the right answer as all roads lead to Rome."
knock socks off,"doing something which was never done before
impressing someone
showing something astonishing
to excite someone
performing something outclass","Lara's performance at the concert last night just knocked my socks off.
The color that John has chosen to wear for his birthday party really knocked my socks off.
With your new makeover, you will knock their socks off.
This exciting news knocked the socks off of everyone in the school.
This movie just knocked my socks off.
Coleen knocked the socks off the other participants in the arts and craft competition of the year.
To knock their socks off, you have to go out of your comfort zone and do something unexpected."
apples to oranges,"apples and oranges
apples with oranges
apples to apples (antonym)","We cannot compare Sara and Salina. They are apples and oranges.
I can't think about leaving my two kids at home all alone. They are just apples and oranges.
Our new chef is just amazing while the previous one was not skilled, they are apples and oranges.
They were twins, but apples and oranges.
To compare Italian food with Mexican food is to compare apples with oranges.
They were a mismatching couple; it was like apples and oranges."
